ID,Topic,Difficulty,Question,Model Answer,Keywords
P001,Python,Easy,What is the difference between a list and a tuple in Python?,A list is mutable while a tuple is immutable. Lists use [] and tuples use (). Lists are slower, tuples are memory-efficient and can be dictionary keys.
P002,Python,Easy,What is the purpose of 'self' in Python classes?,'self' represents the class instance and accesses instance variables/methods. Must be first parameter in class methods. Not a keyword but a convention.,instance
P003,Python,Easy,What is the difference between '==' and 'is'?,'==' checks value equality, 'is' checks reference equality (same object in memory). [1
P004,Python,Easy,What are Python decorators?,Decorators modify function behavior without changing code. Use @ symbol above function. Common for logging, authentication
P005,Python,Easy,What is the purpose of try-except blocks?,Handle exceptions gracefully without crashing. 'try' executes normally, 'except' catches errors. 'else' if no exception
P006,Python,Medium,Explain *args and **kwargs.,*args = variable positional arguments as tuple. **kwargs = variable keyword arguments as dict. Enable flexible function signatures.,positional
P007,Python,Medium,What is Python's garbage collection?,Automatic garbage collection via reference counting + cyclic collector. Reference count=0 â†’ deleted. Cyclic collector handles reference cycles.,reference-count
P008,Python,Medium,What are Python generators?,Functions using 'yield' instead of 'return'. Produce values lazily (one at a time), save memory. Maintain state between calls.
P009,Python,Medium,Explain 'with' statement and context managers.,'with' simplifies resource management. Auto-calls __enter__() before block, __exit__() after. Used with files
P010,Python,Medium,Shallow copy vs deep copy?,Shallow: new object, same nested objects. Deep: completely independent copy including nested. Use deepcopy for nested structures.
P011,Python,Hard,Explain Python's GIL and multi-threading impact.,GIL = mutex allowing only one thread to execute bytecode at a time. Limits CPU-bound threading. Use multiprocessing for CPU-bound, threading for I/O-bound.
P012,Python,Hard,What are metaclasses?,Classes of classes that define how classes behave. Default is 'type'. Used for ORM (Django), API validation
P013,Python,Hard,Explain descriptor protocol.,Objects with __get__(), __set__()
P014,Python,Hard,Explain async/await vs multi-threading.,async/await = asynchronous programming with coroutines. Single-threaded event loop (asyncio) for I/O-bound. Cooperative vs preemptive.,coroutine
P015,Python,Hard,What is MRO and C3 linearization?,MRO = method resolution order in inheritance. Python uses C3 linearization for deterministic order. Prevents diamond problem.,inheritance
O001,OOPs,Easy,What are the four main principles of OOP?,Encapsulation, Inheritance
