ID,Topic,Difficulty,Question,Model Answer,Keywords
1,Architecture,Easy,Why did you choose your specific tech stack over alternatives?,"The response must justify the language or framework selection based on performance, ecosystem libraries, developer familiarity, or fast prototyping capability while highlighting at least one key constraint of a discarded alternative tech stack.","selection criteria, technical justification, framework comparison, runtime environment, development constraint"
2,Architecture,Medium,How does your architecture support scalability?,"The student should explain how the application architecture handles user or dataset growth, explicitly referencing methods like load balancing, horizontal scaling, caching strategies, asynchronous task processing, or decoupled service components.","horizontal scaling, bottleneck mitigation, caching mechanisms, resource management, throughput capacity"
3,Architecture,Hard,What architectural trade-offs were made?,"The student must contrast two competing engineering properties—such as prioritizing application execution speed over heavy security validation, or data consistency over high availability—and clearly explain why that compromise was necessary.","prioritisation, strategic compromise, design constraint, architectural limitation, performance trade-off"
4,Architecture,Easy,How is modularity achieved in the system?,"The user should explain how the project code layout separates distinct functional duties into independent layers or files, ensuring that modifying one module or function does not cause system-wide bugs.","separation of concerns, loose coupling, component isolation, code abstraction, independent modules"
5,Architecture,Medium,How does data flow through the application?,"The answer must trace a clear chronological data journey from the initial frontend user action, through the processing layers, backend routing or evaluation endpoints, and final database state updates.","data lifecycle, request routing, processing sequence, execution pipeline, data persistence"
6,Architecture,Hard,What design patterns were used and why?,"The response must name a recognized software design pattern implemented in the codebase—such as Model-View-Controller, Singleton, Factory, or Observer—and explain the structural problem it was selected to resolve.","architectural design patterns, software structure, code maintainability, structural solution, object creation"
7,Architecture,Easy,How does the architecture handle failures?,"The response should describe how the application prevents complete crashes when runtime errors occur, explicitly referencing try-except error catching blocks, fallback routines, or graceful failure handling alerts.","exception handling, fault tolerance, graceful degradation, fallback logic, system crash mitigation"
8,Architecture,Medium,How would the system support 10x user growth?,"The user must detail an operational scaling blueprint for heavy traffic, mentioning cloud infrastructure adjustments, database query connection pooling, load distribution balancing, or horizontal resource replication.","cloud vertical scaling, infrastructure deployment, query latency, connection pool, distributed loads"
9,Architecture,Hard,What are the major architectural components?,"The answer must break down the system macro-architecture, explaining the exact technical responsibilities and integration hooks connecting the client interface, server backend engine, and storage layer.","three-tier architecture, component communication, infrastructure stack, integration interface, subsystem layers"
10,Architecture,Easy,How is maintainability ensured?,"The response should detail software engineering practices applied to keep the system clean, referencing descriptive object naming conventions, structural code comments, documentation standards, and clean variable definitions.","codebase readability, programming standards, code refactoring, self-documenting code, standard patterns"
11,Architecture,Medium,How would you redesign the system for enterprise use?,"The user should outline modifications needed to scale the app to an enterprise level, focusing on microservices architecture migration, data encryption pipelines, authorization protocols, or high-availability deployments.","enterprise migration, distributed services, encryption layers, access controls, multi-tenant database"
12,Architecture,Hard,What are the main performance bottlenecks?,"The student must identify the primary computing resource constraint of the application—such as network network delay, blocking database queries, or CPU-bound AI processing routines—and suggest optimization steps.","execution latency, system processing constraint, thread optimization, profile evaluation, runtime blocks"
13,Database,Easy,Why was this database selected?,The answer must explicitly validate choosing a relational SQL engine or non-relational NoSQL system by matching data characteristics (such as strict relational schemas or unstructured flexible documents) to the app requirements.,"relational vs non-relational, data engine characteristics, schema requirements, database evaluation, querying efficiency"
14,Database,Medium,How is the schema designed?,"The user should describe the structural arrangement of database collection fields or database row items, identifying critical attributes, unique item identification keys, and structural object boundaries.","attribute configuration, entity data structure, table configuration, identification keys, structural parameters"
15,Database,Hard,How is normalization applied?,"The answer must demonstrate how database redundancy was minimized, referencing specific structural normalization milestones—such as eliminating multi-valued attributes, functional dependencies, or relational join anomalies.","normalization form execution, structural data redundancy, structural dependency mitigation, entity relational schema, transaction anomaly prevention"
16,Database,Easy,How is data integrity maintained?,"The response must detail mechanisms used to prevent corrupt data entry into records, explicitly mentioning data type input validations, database primary key tracking rules, or required value constraints.","constraints configuration, input format validation, relational mapping consistency, verification checks, data type enforcement"
17,Database,Medium,What indexing strategy is used?,"The student must explain how database search speeds were enhanced, naming specific lookup columns (like primary keys or foreign keys) that received indexes to prevent slow, full-table scans.","lookup index, querying acceleration, table scanning mitigation, database index selection, data retrieval optimization"
18,Database,Hard,How are transactions handled?,"The response must explain database execution security, referencing how atomic transaction commands commit successfully as a single complete block or roll back safely during unforeseen script crashes.","connection commit, rollback sequence, concurrent processing safeguards, transaction state isolation, write operation logging"
19,Database,Easy,How are slow queries optimized?,"The answer should highlight data parsing fixes, referencing query structure cleanups, removing redundant database lookups, or writing specialized filter conditions to reduce severe CPU load.","code optimization, query analysis, execution bottleneck mitigation, filtering efficiency, dataset constraints"
20,Database,Medium,What backup strategy is followed?,"The response should describe system recovery rules, specifying regular intervals for data backup exports, local or cloud archive storage strategies, and methods to safely restore files after accidental losses.","recovery script, scheduled data exports, remote storage repositories, archive synchronization, data restoration validation"
21,Database,Hard,How are migrations managed?,"The student must outline how structural data changes are handled, detailing version-controlled update files, column alteration tracking scripts, and strategies to update live system structures without wiping out existing records.","schema updates, operational continuous tracking, deployment scripts, data preservation patterns, automated version configuration"
22,Database,Easy,How would you handle large-scale data growth?,"The answer should describe data expansion solutions, referencing database table dividing strategies, horizontally distributed lookup clusters, or routing less important older data rows into cheaper cold storage files.","table segmentation, storage balancing, data distribution frameworks, cold archiving, operational database partitioning"
23,Testing,Medium,What testing strategy was followed?,"The student should explain their universal quality check pipeline, describing the workflow progress from checking individual custom functions to verifying integrated frontend and backend operations.","quality control roadmap, validation tracking, bug isolation framework, verification milestones, code lifecycle checking"
24,Testing,Hard,What testing types were performed?,"The answer must break down distinct software checking methodologies used, referencing isolated component validations, end-to-end user path simulation checks, or functional edge-case boundary inspections.","structural module checking, user flow verification, API validation layers, functional edge evaluations, comprehensive code testing"
25,Testing,Easy,How were requirements validated?,"The student should describe how they verified that the final software platform meets user objectives, checking project code features against the original project guidelines or rubric metrics.","system feature matching, client rubric mapping, objective verification checks, output criteria validation, functional validation"
26,Testing,Medium,How were edge cases tested?,"The response must explain how the application handles unexpected inputs, detailing test cases with missing variables, extreme boundary parameters, or bad file structures to see if error blocks trigger correctly.","extreme limits checking, invalid variable simulation, script fault resilience, validation exceptions, boundary verification"
27,Testing,Hard,Which testing tools were used?,"The answer should name technical tools or Python libraries utilized to verify project code health—such as PyTest, Unittest, Postman for endpoint checking, or standard debugging execution modules.","assertion frameworks, API testing sandboxes, automation check software, execution tracking scripts, code quality modules"
28,Testing,Easy,How is test coverage measured?,"The response should explain how the team counted what percentage of their application code files ran during safety checks, ensuring no hidden background functions were left completely untested.","code coverage statistics, function run monitoring, testing breadth tracking, structural check analysis, codebase evaluation metrics"
29,Testing,Medium,Describe a critical bug and its resolution.,"The student must tell a logical debugging story: detailing an exact technical failure discovered in their script, tracing the cause, explaining the specific code fix applied, and how they verified the bug was gone.","logical script failure, tracking root cause, system patch application, regression verification, code fix deployment"
